model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.15745,0.16614,0.14876,3.09,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.15745,0.16614,0.14876,2.86,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.15745,0.16614,0.14876,2.81,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.19338,0.18483,0.20194,7.07,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.17732,0.17779,0.17685,4.41,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.17732,0.17779,0.17685,4.42,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.17732,0.17779,0.17685,4.38,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}",0.20284,0.16629,0.23938,0.57,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 2, ""max_features"": 0.5}",0.20284,0.16629,0.23938,0.43,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 2, ""max_features"": 1.0}",0.20284,0.16629,0.23938,0.43,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.21182,0.2504,0.17325,0.43,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 5, ""max_features"": 0.5}",0.21182,0.2504,0.17325,0.42,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 5, ""max_features"": 1.0}",0.21182,0.2504,0.17325,0.43,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",0.42555,0.41001,0.44109,0.44,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 10, ""max_features"": 0.5}",0.42555,0.41001,0.44109,0.42,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 10, ""max_features"": 1.0}",0.42555,0.41001,0.44109,0.43,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 20, ""max_features"": ""sqrt""}",0.61847,0.62326,0.61367,0.43,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 20, ""max_features"": 0.5}",0.61847,0.62326,0.61367,0.43,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 20, ""max_features"": 1.0}",0.61847,0.62326,0.61367,0.42,ok
QRF,"{""n_estimators"": 50, ""min_samples_leaf"": 50, ""max_features"": ""sqrt""}",0.61847,0.62326,0.61367,0.4,ok
